name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"chicago, illinois",2020-05-01,66.6,38.6,53.6,66.6,38.6,53.4,35.6,54.7,0,0,0,,0,0,,9.8,199.5,1016,39.8,9.9,265.1,22.7,9,,2020-05-01T05:46:00,2020-05-01T19:49:49,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-02,76.8,58.6,67.4,76.8,58.6,67.4,46.9,48.9,0,0,0,,0,0,26.9,16.7,233.6,1011,65.6,9.9,225.9,19.7,8,,2020-05-02T05:44:42,2020-05-02T19:50:54,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-03,73.3,49.6,64.7,73.3,43.8,64.2,36.8,37.2,0,0,0,,0,0,34.3,17.9,241.3,1012.6,44.8,9.9,256,22.3,9,,2020-05-03T05:43:25,2020-05-03T19:51:59,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-04,49.5,40.7,44.2,43.9,32.8,37.3,33.8,67,0,0,0,,0,0,29.5,20.7,33.3,1019.8,60.3,9.9,184.5,15.9,7,,2020-05-04T05:42:09,2020-05-04T19:53:04,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-05,47.3,43.5,45.4,43.7,37.7,40.8,35.9,70.2,0.16,100,45.83,rain,0,0,20.8,13.7,59.4,1015.9,87.9,9.7,92.6,8,3,,2020-05-05T05:40:55,2020-05-05T19:54:08,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-06,61,38.7,51.1,61,33.5,49.3,26.2,39.3,0,0,0,,0,0,20.8,11.2,210.6,1018.5,53.1,9.9,319.3,27.6,10,,2020-05-06T05:39:42,2020-05-06T19:55:12,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-07,64.9,47.6,54.2,64.9,44.5,53.4,33.2,47.3,0,0,0,,0,0,34.5,21,203.2,1014.3,34.2,9.9,297.7,25.7,9,,2020-05-07T05:38:30,2020-05-07T19:56:16,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-08,46.9,35.6,41.2,45,29.2,33.9,25.5,53.6,0,0,0,,0,0,34.3,22.8,36.2,1017.5,58.7,9.9,302.1,26.2,9,,2020-05-08T05:37:20,2020-05-08T19:57:20,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-09,58.2,32,46.1,58.2,25.1,43.9,21.9,42.8,0,0,0,,0,0,29,17,233.3,1021.7,19.3,9.9,329.1,28.5,10,,2020-05-09T05:36:12,2020-05-09T19:58:23,0.53,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-10,53.5,37.4,46.2,53.5,28.5,43,36.9,72.6,0.35,100,37.5,rain,0,0,30.2,20.6,238,1016.1,77.7,9.3,56.4,4.7,2,,2020-05-10T05:35:04,2020-05-10T19:59:26,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-11,48.8,40.1,44.6,48.8,35.9,40.8,32.5,64,0,0,0,,0,0,20.2,11.3,225.8,1022.5,80.6,9.9,186,16,8,,2020-05-11T05:33:59,2020-05-11T20:00:29,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-12,61.9,39.4,49.8,61.9,35.3,47.8,28.8,46.6,0,0,0,,0,0,22.8,14.2,197.5,1022.9,31.7,9.9,308.6,26.7,9,,2020-05-12T05:32:54,2020-05-12T20:01:31,0.65,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-13,68.4,44,56.5,68.4,39.7,55.4,31.2,39.3,0,0,0,,0,0,28.4,17.4,132.9,1022.2,52,9.9,297.4,25.8,10,,2020-05-13T05:31:52,2020-05-13T20:02:32,0.7,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
"chicago, illinois",2020-05-14,73.1,55.1,62.1,73.1,55.1,62.1,58.3,87.8,1.18,100,41.67,rain,0,0,24.6,15.2,176.6,1012.9,79.1,7.4,93.6,8.2,4,,2020-05-14T05:30:51,2020-05-14T20:03:33,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
